City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,boromo,11.75,-2.9333,31.75,56,62,2.81,BF,1728658530
1,hermanus,-34.4187,19.2345,19.89,75,83,3.63,ZA,1728658454
2,lebu,-37.6167,-73.65,12.08,87,100,3.27,CL,1728658532
3,nambucca heads,-30.65,153.0,15.75,87,41,2.2,AU,1728658533
4,gitega,-3.5,29.95,19.14,77,86,3.23,BI,1728658535
5,bopolu,7.0667,-10.4875,24.31,95,100,3.12,LR,1728658536
6,avarua,-21.2078,-159.775,22.03,68,5,4.12,CK,1728658537
7,port-aux-francais,-49.35,70.2167,-0.02,88,97,25.21,TF,1728658538
8,sola,-13.8833,167.55,26.09,79,99,9.29,VU,1728658539
9,sitka,57.0531,-135.33,7.94,87,100,2.57,US,1728658540
10,grytviken,-54.2811,-36.5092,2.18,83,15,3.9,GS,1728658541
11,college,64.8569,-147.8028,-0.06,87,75,0.0,US,1728658543
12,takanosu,40.2219,140.3694,9.66,91,0,1.13,JP,1728658544
13,adamstown,-25.066,-130.1015,20.96,88,22,6.28,PN,1728658545
14,edinburgh of the seven seas,-37.0676,-12.3116,10.04,66,69,11.77,SH,1728658546
15,yellowknife,62.456,-114.3525,-0.33,100,100,1.03,CA,1728658547
16,arteche,12.2645,125.4048,26.07,88,100,0.67,PH,1728658548
17,port augusta,-32.5,137.7667,13.98,61,100,3.82,AU,1728658550
18,hamilton,39.1834,-84.5333,16.62,68,0,1.54,US,1728657876
19,kano,12.0001,8.5167,36.23,24,5,4.48,NG,1728658552
20,talnakh,69.4865,88.3972,-11.57,88,54,2.7,RU,1728658553
21,benguela,-12.5763,13.4055,26.4,72,21,4.73,AO,1728658554
22,port elizabeth,-33.918,25.5701,20.16,77,0,6.17,ZA,1728658555
23,stanley,54.868,-1.6985,11.4,61,20,8.75,GB,1728658556
24,camocim,-2.9022,-40.8411,32.46,51,74,7.87,BR,1728658557
25,santa elena,-2.2333,-80.85,22.75,83,100,4.12,EC,1728658559
26,ji'an,27.1172,114.9793,20.81,51,21,1.41,CN,1728658560
27,natal,-5.795,-35.2094,30.36,45,40,9.77,BR,1728658326
28,bambari,5.768,20.6757,26.44,82,68,2.21,CF,1728658562
29,westport,41.1415,-73.3579,14.9,66,0,1.79,US,1728658385
30,swakopmund,-22.6833,14.5333,17.21,78,48,4.02,NA,1728658564
31,albany,42.6001,-73.9662,12.57,69,2,1.79,US,1728658172
32,invercargill,-46.4,168.35,8.34,78,56,2.8,NZ,1728658566
33,bethel,41.3712,-73.414,14.1,66,0,3.09,US,1728658567
34,waitangi,-43.9535,-176.5597,8.23,79,100,0.45,NZ,1728658569
35,selfoss,63.9331,-20.9971,1.69,47,64,4.38,IS,1728658570
36,broken hill,-31.95,141.4333,15.57,34,100,6.11,AU,1728658571
37,lib,8.3122,167.3766,28.1,77,100,5.47,MH,1728658572
38,uturoa,-16.7333,-151.4333,25.51,73,31,6.4,PF,1728658573
39,georgetown,5.4112,100.3354,28.96,87,40,1.03,MY,1728658574
40,marovoay,-16.1,46.6333,32.36,28,0,3.9,MG,1728658575
41,fortuna,40.5982,-124.1573,8.51,100,0,2.57,US,1728658576
42,alo,6.5486,4.2686,27.82,74,30,4.62,NG,1728658578
43,varena,54.2167,24.5667,10.95,70,75,3.55,LT,1728658548
44,siocon,7.7061,122.1353,26.4,87,100,1.03,PH,1728658580
45,chibougamau,49.9168,-74.3659,6.79,93,100,3.6,CA,1728658581
46,chonchi,-42.6128,-73.8092,10.62,71,100,3.21,CL,1728658582
47,ujae,8.9322,165.7642,27.79,79,100,7.04,MH,1728658583
48,enewetak,11.3474,162.3373,28.79,76,95,7.28,MH,1728658584
49,smithers,54.7804,-127.1743,-0.82,100,100,1.03,CA,1728658586
50,smirnovo,54.5125,69.4222,-2.58,95,100,9.4,KZ,1728658587
51,kurchatov,51.6601,35.6521,16.79,63,1,3.51,RU,1728658588
52,kodiak,57.79,-152.4072,7.73,93,100,19.03,US,1728658589
53,northam,51.0333,-4.2167,12.01,73,40,2.08,GB,1728658590
54,luderitz,-26.6481,15.1594,19.82,57,0,6.68,NA,1728658591
55,alofi,-19.0595,-169.9187,22.94,94,99,2.57,NU,1728658592
56,bandon,51.7469,-8.7425,12.77,63,47,2.31,IE,1728658593
